text,category
Missing garlic bread from the order.,Wrong / Missing Item
delivery person could not find my location.,Delivery Issue
App is very slow and laggy.,App / Technical Issue
Delivery person could not find my location.,Delivery Issue
they forgot to send cutlery.,Wrong / Missing Item
Food arrived cold because the delivery took too long.,Delivery Issue
received completely wrong order.,Wrong / Missing Item
Waited for 2 hours and food never came.,Delivery Issue
Package was damaged during delivery.,Delivery Issue
overcharged for delivery fees.,Payment / Refund Issue
food was stale and smelled bad!,Food Quality Issue
GPS location is showing wrong address.,App / Technical Issue
Food was stale and smelled bad.,Food Quality Issue
The delivery was delayed by 45 minutes!,Delivery Issue
images are not loading in the app.,App / Technical Issue
quality of paneer was very poor.,Food Quality Issue
Food arrived cold because the delivery took too long.,Delivery Issue
Unable to login to my account!,App / Technical Issue
Food was stale and smelled bad.,Food Quality Issue
Package was damaged during delivery.,Delivery Issue
Driver was very polite but late due to traffic!,Delivery Issue
Received completely wrong order.,Wrong / Missing Item
Dessert was missing.,Wrong / Missing Item
overcharged for delivery fees.,Payment / Refund Issue
app crashes when i open the menu.,App / Technical Issue
found a hair in my biryani.,Food Quality Issue
The pizza was burnt and undeniable.,Food Quality Issue
wallet balance did not update after recharge.,Payment / Refund Issue
the delivery was delayed by 45 minutes.,Delivery Issue
Ordered spicy but got sweet food.,Food Quality Issue
my order was marked delivered but i didn't receive it.,Delivery Issue
the delivery was delayed by 45 minutes.,Delivery Issue
ordered spicy but got sweet food.,Food Quality Issue
the delivery was delayed by 45 minutes.,Delivery Issue
Rider was rude and shouted at me.,Delivery Issue
Waited for 2 hours and food never came.,Delivery Issue
food was uncooked and raw.,Food Quality Issue
food arrived cold because the delivery took too long.,Delivery Issue
wrong toppings on the pizza.,Wrong / Missing Item
wallet balance did not update after recharge!,Payment / Refund Issue
Too much salt in the curry.,Food Quality Issue
payment gateway crashed during transaction!,Payment / Refund Issue
Quality of paneer was very poor!,Food Quality Issue
Did not receive cashback as promised.,Payment / Refund Issue
Unable to login to my account.,App / Technical Issue
gps location is showing wrong address.,App / Technical Issue
Cannot add items to cart!,App / Technical Issue
app crashes when i open the menu!,App / Technical Issue
refund not processed yet after 5 days!,Payment / Refund Issue
they forgot to send cutlery.,Wrong / Missing Item
Rice was hard and undercooked.,Food Quality Issue
dessert was missing.,Wrong / Missing Item
refund amount is incorrect.,Payment / Refund Issue
wrong toppings on the pizza.,Wrong / Missing Item
missing garlic bread from the order.,Wrong / Missing Item
Received a smaller portion size than ordered.,Wrong / Missing Item
The quantity was very less for the price.,Food Quality Issue
coupon code didn't work but amount deducted!,Payment / Refund Issue
refund amount is incorrect.,Payment / Refund Issue
The delivery was delayed by 45 minutes.,Delivery Issue
wallet balance did not update after recharge.,Payment / Refund Issue
Coupon code didn't work but amount deducted!,Payment / Refund Issue
search function is not working.,App / Technical Issue
Delivery was extremely late.,Delivery Issue
Delivery guy asked for a tip forcefully.,Delivery Issue
Delivery person could not find my location.,Delivery Issue
Rice was hard and undercooked.,Food Quality Issue
Refund not processed yet after 5 days!,Payment / Refund Issue
wallet balance did not update after recharge!,Payment / Refund Issue
the delivery was delayed by 45 minutes.,Delivery Issue
Delivery person could not find my location.,Delivery Issue
The quantity was very less for the price.,Food Quality Issue
Did not receive cashback as promised!,Payment / Refund Issue
The pizza was burnt and undeniable.,Food Quality Issue
App is very slow and laggy!,App / Technical Issue
Search function is not working.,App / Technical Issue
Received completely wrong order.,Wrong / Missing Item
the delivery was delayed by 45 minutes.,Delivery Issue
wrong toppings on the pizza.,Wrong / Missing Item
They forgot to send cutlery.,Wrong / Missing Item
the pizza was burnt and undeniable!,Food Quality Issue
quality of paneer was very poor.,Food Quality Issue
images are not loading in the app.,App / Technical Issue
coupon code didn't work but amount deducted.,Payment / Refund Issue
Notification not received for order status.,App / Technical Issue
Rice was hard and undercooked!,Food Quality Issue
my order was marked delivered but i didn't receive it.,Delivery Issue
"ordered 2 burgers, got only 1!",Wrong / Missing Item
notification not received for order status!,App / Technical Issue
Refund not processed yet after 5 days.,Payment / Refund Issue
"Ordered 2 burgers, got only 1.",Wrong / Missing Item
rice was hard and undercooked.,Food Quality Issue
Delivery was extremely late!,Delivery Issue
"The taste was awful, threw it away.",Food Quality Issue
The delivery was delayed by 45 minutes.,Delivery Issue
Cannot add items to cart.,App / Technical Issue
refund amount is incorrect.,Payment / Refund Issue
Cannot add items to cart!,App / Technical Issue
Delivery person could not find my location.,Delivery Issue
payment gateway crashed during transaction.,Payment / Refund Issue
The delivery was delayed by 45 minutes!,Delivery Issue
payment gateway crashed during transaction.,Payment / Refund Issue
money deducted but order failed.,Payment / Refund Issue
Driver was very polite but late due to traffic.,Delivery Issue
rice was hard and undercooked.,Food Quality Issue
"the taste was awful, threw it away.",Food Quality Issue
Too much salt in the curry!,Food Quality Issue
wrong toppings on the pizza!,Wrong / Missing Item
I ordered coke but got sprite.,Wrong / Missing Item
They forgot to send cutlery.,Wrong / Missing Item
they forgot to send cutlery.,Wrong / Missing Item
I ordered coke but got sprite.,Wrong / Missing Item
delivery guy asked for a tip forcefully.,Delivery Issue
waited for 2 hours and food never came.,Delivery Issue
Found a hair in my biryani!,Food Quality Issue
Unable to pay using UPI.,Payment / Refund Issue
the delivery was delayed by 45 minutes.,Delivery Issue
Rider was rude and shouted at me.,Delivery Issue
refund not processed yet after 5 days.,Payment / Refund Issue
Waited for 2 hours and food never came!,Delivery Issue
rice was hard and undercooked!,Food Quality Issue
"cannot track my order, map is blank!",App / Technical Issue
rider was rude and shouted at me.,Delivery Issue
Waited for 2 hours and food never came!,Delivery Issue
Search function is not working.,App / Technical Issue
"ordered 2 burgers, got only 1.",Wrong / Missing Item
the quantity was very less for the price!,Food Quality Issue
wrong toppings on the pizza.,Wrong / Missing Item
The pizza was burnt and undeniable.,Food Quality Issue
delivery person could not find my location.,Delivery Issue
the pizza was burnt and undeniable.,Food Quality Issue
app is very slow and laggy.,App / Technical Issue
i ordered coke but got sprite!,Wrong / Missing Item
Search function is not working.,App / Technical Issue
gps location is showing wrong address.,App / Technical Issue
food was stale and smelled bad.,Food Quality Issue
search function is not working.,App / Technical Issue
The quantity was very less for the price.,Food Quality Issue
payment gateway crashed during transaction.,Payment / Refund Issue
did not receive cashback as promised.,Payment / Refund Issue
Cannot add items to cart.,App / Technical Issue
refund amount is incorrect.,Payment / Refund Issue
Rider was rude and shouted at me.,Delivery Issue
images are not loading in the app.,App / Technical Issue
package was damaged during delivery.,Delivery Issue
food arrived cold because the delivery took too long.,Delivery Issue
Payment gateway crashed during transaction!,Payment / Refund Issue
gps location is showing wrong address!,App / Technical Issue
Missing garlic bread from the order.,Wrong / Missing Item
Wallet balance did not update after recharge.,Payment / Refund Issue
The delivery was delayed by 45 minutes.,Delivery Issue
cannot add items to cart.,App / Technical Issue
app freezes on the payment screen.,App / Technical Issue
App is very slow and laggy!,App / Technical Issue
App crashes when I open the menu.,App / Technical Issue
Cannot add items to cart.,App / Technical Issue
App is very slow and laggy!,App / Technical Issue
rice was hard and undercooked.,Food Quality Issue
Wrong toppings on the pizza!,Wrong / Missing Item
App crashes when I open the menu.,App / Technical Issue
app crashes when i open the menu.,App / Technical Issue
found a hair in my biryani.,Food Quality Issue
quality of paneer was very poor.,Food Quality Issue
Coupon code didn't work but amount deducted.,Payment / Refund Issue
I ordered veg biryani but got chicken.,Wrong / Missing Item
Found a hair in my biryani.,Food Quality Issue
did not receive cashback as promised.,Payment / Refund Issue
App is very slow and laggy!,App / Technical Issue
App freezes on the payment screen.,App / Technical Issue
Wallet balance did not update after recharge!,Payment / Refund Issue
dessert was missing.,Wrong / Missing Item
I ordered coke but got sprite.,Wrong / Missing Item
Missing garlic bread from the order.,Wrong / Missing Item
cannot add items to cart.,App / Technical Issue
Rice was hard and undercooked.,Food Quality Issue
"ordered 2 burgers, got only 1.",Wrong / Missing Item
Overcharged for delivery fees!,Payment / Refund Issue
half the items were missing from the bag!,Wrong / Missing Item
quality of paneer was very poor!,Food Quality Issue
GPS location is showing wrong address.,App / Technical Issue
found a hair in my biryani.,Food Quality Issue
delivery guy asked for a tip forcefully.,Delivery Issue
"cannot track my order, map is blank.",App / Technical Issue
Delivery person could not find my location.,Delivery Issue
dessert was missing!,Wrong / Missing Item
Food was uncooked and raw.,Food Quality Issue
delivery person could not find my location!,Delivery Issue
Half the items were missing from the bag!,Wrong / Missing Item
food was stale and smelled bad.,Food Quality Issue
refund not processed yet after 5 days.,Payment / Refund Issue
They forgot to send cutlery.,Wrong / Missing Item
GPS location is showing wrong address.,App / Technical Issue
Missing garlic bread from the order.,Wrong / Missing Item
i ordered coke but got sprite.,Wrong / Missing Item
app freezes on the payment screen.,App / Technical Issue
Driver was very polite but late due to traffic.,Delivery Issue
App freezes on the payment screen!,App / Technical Issue
The pizza was burnt and undeniable!,Food Quality Issue
Wallet balance did not update after recharge.,Payment / Refund Issue
I ordered veg biryani but got chicken.,Wrong / Missing Item
Delivery guy asked for a tip forcefully.,Delivery Issue
App freezes on the payment screen.,App / Technical Issue
Rice was hard and undercooked!,Food Quality Issue
delivery person could not find my location.,Delivery Issue
app is very slow and laggy.,App / Technical Issue
they forgot to send cutlery.,Wrong / Missing Item
Refund not processed yet after 5 days!,Payment / Refund Issue
rider was rude and shouted at me.,Delivery Issue
unable to login to my account.,App / Technical Issue
Rider was rude and shouted at me.,Delivery Issue
Coupon code didn't work but amount deducted.,Payment / Refund Issue
App freezes on the payment screen.,App / Technical Issue
Delivery guy asked for a tip forcefully!,Delivery Issue
Missing garlic bread from the order!,Wrong / Missing Item
Missing garlic bread from the order.,Wrong / Missing Item
missing garlic bread from the order.,Wrong / Missing Item
Delivery was extremely late.,Delivery Issue
food was uncooked and raw.,Food Quality Issue
notification not received for order status.,App / Technical Issue
"Ordered 2 burgers, got only 1.",Wrong / Missing Item
package was damaged during delivery!,Delivery Issue
my order was marked delivered but i didn't receive it.,Delivery Issue
missing garlic bread from the order!,Wrong / Missing Item
Waited for 2 hours and food never came.,Delivery Issue
images are not loading in the app.,App / Technical Issue
Driver was very polite but late due to traffic!,Delivery Issue
Food arrived cold because the delivery took too long.,Delivery Issue
package was damaged during delivery.,Delivery Issue
Missing garlic bread from the order.,Wrong / Missing Item
Ordered spicy but got sweet food.,Food Quality Issue
Package was damaged during delivery.,Delivery Issue
refund amount is incorrect.,Payment / Refund Issue
Quality of paneer was very poor!,Food Quality Issue
Half the items were missing from the bag.,Wrong / Missing Item
App freezes on the payment screen!,App / Technical Issue
Too much salt in the curry.,Food Quality Issue
overcharged for delivery fees.,Payment / Refund Issue
charged twice for the same order.,Payment / Refund Issue
delivery guy asked for a tip forcefully.,Delivery Issue
Dessert was missing.,Wrong / Missing Item
package was damaged during delivery!,Delivery Issue
Wallet balance did not update after recharge.,Payment / Refund Issue
Refund amount is incorrect.,Payment / Refund Issue
Dessert was missing.,Wrong / Missing Item
Money deducted but order failed.,Payment / Refund Issue
refund amount is incorrect.,Payment / Refund Issue
"the taste was awful, threw it away.",Food Quality Issue
App crashes when I open the menu.,App / Technical Issue
Did not receive cashback as promised.,Payment / Refund Issue
Charged twice for the same order!,Payment / Refund Issue
"Ordered 2 burgers, got only 1.",Wrong / Missing Item
Received a smaller portion size than ordered.,Wrong / Missing Item
received a smaller portion size than ordered!,Wrong / Missing Item
Too much salt in the curry.,Food Quality Issue
Driver was very polite but late due to traffic.,Delivery Issue
Quality of paneer was very poor.,Food Quality Issue
overcharged for delivery fees.,Payment / Refund Issue
Unable to pay using UPI.,Payment / Refund Issue
Coupon code didn't work but amount deducted.,Payment / Refund Issue
App crashes when I open the menu!,App / Technical Issue
notification not received for order status.,App / Technical Issue
Found a hair in my biryani.,Food Quality Issue
Ordered spicy but got sweet food.,Food Quality Issue
"The taste was awful, threw it away!",Food Quality Issue
Half the items were missing from the bag!,Wrong / Missing Item
Food was uncooked and raw.,Food Quality Issue
Refund not processed yet after 5 days.,Payment / Refund Issue
Food was stale and smelled bad!,Food Quality Issue
"ordered 2 burgers, got only 1.",Wrong / Missing Item
rider was rude and shouted at me.,Delivery Issue
Waited for 2 hours and food never came!,Delivery Issue
Delivery guy asked for a tip forcefully.,Delivery Issue
"ordered 2 burgers, got only 1.",Wrong / Missing Item
unable to login to my account.,App / Technical Issue
Ordered spicy but got sweet food.,Food Quality Issue
i ordered veg biryani but got chicken.,Wrong / Missing Item
package was damaged during delivery!,Delivery Issue
i ordered veg biryani but got chicken.,Wrong / Missing Item
They forgot to send cutlery.,Wrong / Missing Item
Coupon code didn't work but amount deducted.,Payment / Refund Issue
"the taste was awful, threw it away.",Food Quality Issue
did not receive cashback as promised.,Payment / Refund Issue
dessert was missing!,Wrong / Missing Item
notification not received for order status.,App / Technical Issue
Unable to login to my account.,App / Technical Issue
wallet balance did not update after recharge!,Payment / Refund Issue
Too much salt in the curry.,Food Quality Issue
too much salt in the curry.,Food Quality Issue
too much salt in the curry.,Food Quality Issue
payment gateway crashed during transaction.,Payment / Refund Issue
app crashes when i open the menu.,App / Technical Issue
i ordered coke but got sprite.,Wrong / Missing Item
App freezes on the payment screen.,App / Technical Issue
I ordered veg biryani but got chicken.,Wrong / Missing Item
Ordered spicy but got sweet food.,Food Quality Issue
Dessert was missing.,Wrong / Missing Item
Delivery guy asked for a tip forcefully!,Delivery Issue
delivery was extremely late.,Delivery Issue
search function is not working!,App / Technical Issue
images are not loading in the app.,App / Technical Issue
Coupon code didn't work but amount deducted.,Payment / Refund Issue
Money deducted but order failed.,Payment / Refund Issue
Delivery was extremely late.,Delivery Issue
Images are not loading in the app.,App / Technical Issue
"the taste was awful, threw it away!",Food Quality Issue
They forgot to send cutlery.,Wrong / Missing Item
Driver was very polite but late due to traffic!,Delivery Issue
found a hair in my biryani.,Food Quality Issue
food was stale and smelled bad.,Food Quality Issue
dessert was missing!,Wrong / Missing Item
"The taste was awful, threw it away.",Food Quality Issue
"Ordered 2 burgers, got only 1!",Wrong / Missing Item
delivery person could not find my location!,Delivery Issue
app freezes on the payment screen.,App / Technical Issue
Delivery person could not find my location!,Delivery Issue
app is very slow and laggy.,App / Technical Issue
ordered spicy but got sweet food.,Food Quality Issue
app freezes on the payment screen.,App / Technical Issue
Waited for 2 hours and food never came.,Delivery Issue
Refund amount is incorrect.,Payment / Refund Issue
Unable to pay using UPI!,Payment / Refund Issue
delivery person could not find my location.,Delivery Issue
the quantity was very less for the price.,Food Quality Issue
Received completely wrong order.,Wrong / Missing Item
"ordered 2 burgers, got only 1!",Wrong / Missing Item
Delivery person could not find my location.,Delivery Issue
Received a smaller portion size than ordered.,Wrong / Missing Item
Food was uncooked and raw!,Food Quality Issue
Wallet balance did not update after recharge.,Payment / Refund Issue
app freezes on the payment screen!,App / Technical Issue
Search function is not working!,App / Technical Issue
waited for 2 hours and food never came.,Delivery Issue
Cannot add items to cart.,App / Technical Issue
Cannot add items to cart.,App / Technical Issue
App is very slow and laggy.,App / Technical Issue
My order was marked delivered but I didn't receive it.,Delivery Issue
received a smaller portion size than ordered.,Wrong / Missing Item
App freezes on the payment screen.,App / Technical Issue
App crashes when I open the menu.,App / Technical Issue
payment gateway crashed during transaction.,Payment / Refund Issue
Charged twice for the same order.,Payment / Refund Issue
Too much salt in the curry.,Food Quality Issue
"cannot track my order, map is blank.",App / Technical Issue
coupon code didn't work but amount deducted!,Payment / Refund Issue
Overcharged for delivery fees.,Payment / Refund Issue
delivery guy asked for a tip forcefully.,Delivery Issue
Cannot add items to cart.,App / Technical Issue
app is very slow and laggy.,App / Technical Issue
They forgot to send cutlery!,Wrong / Missing Item
delivery guy asked for a tip forcefully.,Delivery Issue
GPS location is showing wrong address!,App / Technical Issue
"cannot track my order, map is blank.",App / Technical Issue
Cannot add items to cart.,App / Technical Issue
received a smaller portion size than ordered!,Wrong / Missing Item
Refund amount is incorrect.,Payment / Refund Issue
Dessert was missing.,Wrong / Missing Item
Food was stale and smelled bad.,Food Quality Issue
Package was damaged during delivery.,Delivery Issue
payment gateway crashed during transaction.,Payment / Refund Issue
the quantity was very less for the price!,Food Quality Issue
wallet balance did not update after recharge.,Payment / Refund Issue
Delivery person could not find my location.,Delivery Issue
they forgot to send cutlery.,Wrong / Missing Item
wrong toppings on the pizza.,Wrong / Missing Item
refund amount is incorrect.,Payment / Refund Issue
payment gateway crashed during transaction.,Payment / Refund Issue
food was stale and smelled bad.,Food Quality Issue
driver was very polite but late due to traffic.,Delivery Issue
Delivery person could not find my location!,Delivery Issue
The delivery was delayed by 45 minutes.,Delivery Issue
app freezes on the payment screen.,App / Technical Issue
the pizza was burnt and undeniable.,Food Quality Issue
Rider was rude and shouted at me.,Delivery Issue
food was stale and smelled bad.,Food Quality Issue
unable to login to my account.,App / Technical Issue
app is very slow and laggy.,App / Technical Issue
food was uncooked and raw!,Food Quality Issue
Found a hair in my biryani.,Food Quality Issue
Too much salt in the curry.,Food Quality Issue
unable to login to my account.,App / Technical Issue
ordered spicy but got sweet food.,Food Quality Issue
Delivery guy asked for a tip forcefully.,Delivery Issue
refund not processed yet after 5 days.,Payment / Refund Issue
notification not received for order status!,App / Technical Issue
Wrong toppings on the pizza.,Wrong / Missing Item
app freezes on the payment screen.,App / Technical Issue
Unable to login to my account.,App / Technical Issue
"The taste was awful, threw it away.",Food Quality Issue
Delivery was extremely late.,Delivery Issue
waited for 2 hours and food never came.,Delivery Issue
"ordered 2 burgers, got only 1.",Wrong / Missing Item
Food was stale and smelled bad!,Food Quality Issue
delivery person could not find my location.,Delivery Issue
Dessert was missing.,Wrong / Missing Item
They forgot to send cutlery.,Wrong / Missing Item
too much salt in the curry.,Food Quality Issue
Rice was hard and undercooked!,Food Quality Issue
food arrived cold because the delivery took too long.,Delivery Issue
"cannot track my order, map is blank.",App / Technical Issue
too much salt in the curry.,Food Quality Issue
Money deducted but order failed!,Payment / Refund Issue
delivery person could not find my location.,Delivery Issue
I ordered veg biryani but got chicken.,Wrong / Missing Item
The pizza was burnt and undeniable.,Food Quality Issue
Did not receive cashback as promised!,Payment / Refund Issue
I ordered coke but got sprite!,Wrong / Missing Item
Received a smaller portion size than ordered.,Wrong / Missing Item
"The taste was awful, threw it away.",Food Quality Issue
App is very slow and laggy!,App / Technical Issue
Search function is not working!,App / Technical Issue
did not receive cashback as promised!,Payment / Refund Issue
Rider was rude and shouted at me.,Delivery Issue
Food was uncooked and raw.,Food Quality Issue
payment gateway crashed during transaction.,Payment / Refund Issue
Food arrived cold because the delivery took too long.,Delivery Issue
my order was marked delivered but i didn't receive it!,Delivery Issue
wrong toppings on the pizza.,Wrong / Missing Item
Rider was rude and shouted at me!,Delivery Issue
"the taste was awful, threw it away.",Food Quality Issue
gps location is showing wrong address.,App / Technical Issue
received a smaller portion size than ordered.,Wrong / Missing Item
app crashes when i open the menu.,App / Technical Issue
they forgot to send cutlery.,Wrong / Missing Item
refund not processed yet after 5 days!,Payment / Refund Issue
"The taste was awful, threw it away.",Food Quality Issue
Unable to login to my account.,App / Technical Issue
The pizza was burnt and undeniable.,Food Quality Issue
Food was stale and smelled bad.,Food Quality Issue
"The taste was awful, threw it away!",Food Quality Issue
driver was very polite but late due to traffic.,Delivery Issue
"cannot track my order, map is blank.",App / Technical Issue
app is very slow and laggy.,App / Technical Issue
"Cannot track my order, map is blank.",App / Technical Issue
the delivery was delayed by 45 minutes.,Delivery Issue
coupon code didn't work but amount deducted.,Payment / Refund Issue
received completely wrong order.,Wrong / Missing Item
food arrived cold because the delivery took too long!,Delivery Issue
delivery person could not find my location!,Delivery Issue
Food arrived cold because the delivery took too long.,Delivery Issue
Received completely wrong order.,Wrong / Missing Item
delivery person could not find my location.,Delivery Issue
Wallet balance did not update after recharge.,Payment / Refund Issue
the delivery was delayed by 45 minutes.,Delivery Issue
received completely wrong order.,Wrong / Missing Item
refund amount is incorrect.,Payment / Refund Issue
Coupon code didn't work but amount deducted.,Payment / Refund Issue
unable to login to my account.,App / Technical Issue
cannot add items to cart.,App / Technical Issue
GPS location is showing wrong address.,App / Technical Issue
they forgot to send cutlery.,Wrong / Missing Item
Images are not loading in the app!,App / Technical Issue
Refund amount is incorrect.,Payment / Refund Issue
Food was uncooked and raw.,Food Quality Issue
cannot add items to cart.,App / Technical Issue
Refund not processed yet after 5 days.,Payment / Refund Issue
did not receive cashback as promised!,Payment / Refund Issue
App crashes when I open the menu.,App / Technical Issue
i ordered veg biryani but got chicken.,Wrong / Missing Item
GPS location is showing wrong address.,App / Technical Issue
too much salt in the curry.,Food Quality Issue
delivery was extremely late.,Delivery Issue
delivery was extremely late.,Delivery Issue
"Cannot track my order, map is blank!",App / Technical Issue
Overcharged for delivery fees.,Payment / Refund Issue
half the items were missing from the bag.,Wrong / Missing Item
"The taste was awful, threw it away.",Food Quality Issue
delivery was extremely late.,Delivery Issue
rice was hard and undercooked.,Food Quality Issue
driver was very polite but late due to traffic.,Delivery Issue
they forgot to send cutlery.,Wrong / Missing Item
App crashes when I open the menu.,App / Technical Issue
"the taste was awful, threw it away.",Food Quality Issue
quality of paneer was very poor!,Food Quality Issue
Missing garlic bread from the order.,Wrong / Missing Item
Delivery was extremely late.,Delivery Issue
ordered spicy but got sweet food.,Food Quality Issue
search function is not working.,App / Technical Issue
Waited for 2 hours and food never came.,Delivery Issue
Rice was hard and undercooked!,Food Quality Issue
Wallet balance did not update after recharge.,Payment / Refund Issue
overcharged for delivery fees.,Payment / Refund Issue
Too much salt in the curry.,Food Quality Issue
the delivery was delayed by 45 minutes.,Delivery Issue
too much salt in the curry.,Food Quality Issue
money deducted but order failed.,Payment / Refund Issue
Unable to pay using UPI.,Payment / Refund Issue
refund amount is incorrect.,Payment / Refund Issue
i ordered veg biryani but got chicken!,Wrong / Missing Item
driver was very polite but late due to traffic.,Delivery Issue
The delivery was delayed by 45 minutes!,Delivery Issue
Refund not processed yet after 5 days.,Payment / Refund Issue
Delivery person could not find my location.,Delivery Issue
images are not loading in the app.,App / Technical Issue
missing garlic bread from the order.,Wrong / Missing Item
Delivery guy asked for a tip forcefully.,Delivery Issue
wrong toppings on the pizza.,Wrong / Missing Item
Delivery guy asked for a tip forcefully.,Delivery Issue
money deducted but order failed.,Payment / Refund Issue
"cannot track my order, map is blank!",App / Technical Issue
refund amount is incorrect!,Payment / Refund Issue
